14
minimax
75201,92.192554,0.822285,0.134675,0
64504,193.537866,0.239586,0.572906,0
83601,10.631835,0.547191,0.251238,1
87705,111.105311,0.931969,0.653667,1
25202,23.053795,0.075295,0.993499,0
39202,87.595928,0.208003,0.255219,0
42904,168.518783,0.426926,0.432817,0
12703,75.011463,0.456201,0.037517,2
55502,168.823333,0.127049,0.159396,0
82301,82.524738,0.755311,0.406141,0
46902,142.316246,0.511181,0.217463,1
98403,83.132871,0.236225,0.612434,2
79802,118.762381,0.880846,0.579115,2
88903,187.685198,0.277158,0.679969,0
